Date,Name,ELO_smooth
2015-01-03,Venetia Sivarajasingam,1812
2015-01-03,Walter Braun,NA
2015-01-03,Will Parkinson,NA
2015-01-03,Yaroslav Sharhorodsky,NA
2015-01-03,Zack Wilkins,NA
2015-01-04,Aaryan Pandit,NA
2015-01-04,Abir Deshpande,NA
2015-01-04,Alan Pietrzyk,NA
2015-01-04,Alan Spice,NA
2015-01-04,Aled George,NA
2015-01-04,Alex Bullen,NA
2015-01-04,Alex Freeland,NA
2015-01-04,Alex Wills,NA
2015-01-04,Andrei Zhuravlev,NA
2015-01-04,Anezka Vlkova,NA
2015-01-04,Angus Lloyd,NA
2015-01-04,Anlan Qiu,NA
2015-01-04,Ashika Shahameeran,NA
2015-01-04,Aviral Batra,NA
2015-01-04,Ayodele Sadiq,NA
2015-01-04,Barbara Graczyk-Gibiec,NA
2015-01-04,Benjamin Oh,NA
2015-01-04,Bertie Carvey,NA
2015-01-04,Bethan Mattingley,NA
2015-01-04,Bill Harle,NA
2015-01-04,Bill Hunt,NA
2015-01-04,Bill Wilkins,NA
2015-01-04,Celso Bettencourt Pinto,NA
2015-01-04,Charles Summers,NA
2015-01-04,Chris Fox,NA
2015-01-04,Chris Golding,NA
2015-01-04,Chris Hooper,NA
2015-01-04,Christine Muschiato,NA
2015-01-04,Cian Grattidge,NA
2015-01-04,Con Ariti,NA
2015-01-04,Connor Evans,NA
2015-01-04,Conor Hunt,NA
2015-01-04,Csege Hanczar,NA
2015-01-04,Csombor Hanczar,NA
2015-01-04,Cyril Ley,NA
2015-01-04,Dave McGhee,NA
2015-01-04,David L Roberts,NA
2015-01-04,David ODonnell,NA
2015-01-04,David Thorne,NA
2015-01-04,Dennis Stokes-Carter,NA
2015-01-04,Derek Jones,NA
2015-01-04,Derek Smith,NA
2015-01-04,Dominic Murray,NA
2015-01-04,Edward Donovan,NA
2015-01-04,Edward Mason,1696
2015-01-04,Egor Muljarov,NA
2015-01-04,Elliott MacNeil,NA
2015-01-04,Emma Kong,NA
2015-01-04,Evan Lewis,NA
2015-01-04,Gavin Jones,NA
2015-01-04,George Turner,NA
2015-01-04,Georgi Korovski,NA
2015-01-04,Greg Lloyd,NA
2015-01-04,Gruff Jones,NA
2015-01-04,Grzegorz Toczek,NA
2015-01-04,Guy Wagner,NA
2015-01-04,Hamid Farani Sani,NA
2015-01-04,Hanni Youssef,NA
2015-01-04,HaoYu Yin,NA
2015-01-04,Harri Hampson,NA
2015-01-04,Hefin Jones,NA
2015-01-04,Henry Jones,NA
2015-01-04,Hugh Price,NA
2015-01-04,Ieuan Bevan Jones,NA
2015-01-04,Isaac Aljabri,NA
2015-01-04,Ivan De La Cruz,NA
2015-01-04,Jack Nicol,NA
2015-01-04,Jaime Davies,NA
2015-01-04,Jake Hurley,NA
2015-01-04,James Tapp,NA
2015-01-04,Javier Martin Perez,NA
2015-01-04,Jeff Rowland,NA
2015-01-04,Jen Taylor,NA
2015-01-04,Joe Fathallah,2020
2015-01-04,John Fletcher,NA
2015-01-04,John Hannay,NA
2015-01-04,John Rowles,NA
2015-01-04,John Trevelyan,NA
2015-01-04,Jonathan Bold,NA
2015-01-04,Jonathan Lewis,NA
2015-01-04,Joseph Sartin,NA
2015-01-04,Joseph Setchfield,NA
2015-01-04,Josh Robinson,NA
2015-01-04,Joshua McKenna,NA
2015-01-04,Juan Carlos Payan,NA
2015-01-04,Juan Rodriguez,NA
2015-01-04,Jude Roberts,NA
2015-01-04,Keith Thompson,NA
2015-01-04,Kimberly Chong,NA
2015-01-04,Kristan Enoch,NA
2015-01-04,Krzysztof Jakubiak,NA
2015-01-04,Leon Zedlmayer,NA
2015-01-04,Marcell Vesz,NA
2015-01-04,Mark Maddock,NA
2015-01-04,Martin Blackman-Siegler,NA
2015-01-04,Mateusz Graczyk,NA
2015-01-04,Matt Staniforth,NA
2015-01-04,Matthew Davies,NA
2015-01-04,Matthew Wilson,NA
2015-01-04,Micah OToole,NA
2015-01-04,Michael Arribas-Ayllon,NA
2015-01-04,Mike Edwards,NA
2015-01-04,Mike Smith,NA
2015-01-04,Miltos Zoumekas,NA
2015-01-04,Muhieddin Hamadah,NA
2015-01-04,Nick Van Noorden,NA
2015-01-04,Nigel Ralphs,NA
2015-01-04,Oleksandr Zhuravel,NA
2015-01-04,Olivia Smith,NA
2015-01-04,Paul Meara,NA
2015-01-04,Peter Ehsandar,NA
2015-01-04,Peter Quinn,NA
2015-01-04,Phil Buttle,NA
2015-01-04,Piotr Graczyk,NA
2015-01-04,Reginald Mba,NA
2015-01-04,Reuben Hilliar,NA
2015-01-04,Richard Cousins,NA
2015-01-04,Ryan Cheung,NA
2015-01-04,Sam Jukes,1828
2015-01-04,Sam Rhydderch,NA
2015-01-04,Sam Thomas,NA
2015-01-04,Samuele Scarpignato,NA
2015-01-04,Shayanna Sivarajasingam,1828
2015-01-04,Stephen Hughes,NA
2015-01-04,Steve Curtis,NA
2015-01-04,Steve Herkes,NA
2015-01-04,Stuart Enoch,NA
2015-01-04,Tom Brown,2138
2015-01-04,Tom McIlveen,NA
2015-01-04,Tom Stanton,NA
2015-01-04,Varun Varma,NA
2015-01-04,Vaseekaran Sivarajasingam,NA
2015-01-04,Venetia Sivarajasingam,1812
2015-01-04,Walter Braun,NA
2015-01-04,Will Parkinson,NA
2015-01-04,Yaroslav Sharhorodsky,NA
2015-01-04,Zack Wilkins,NA
2015-01-05,Aaryan Pandit,NA
2015-01-05,Abir Deshpande,NA
2015-01-05,Alan Pietrzyk,NA
2015-01-05,Alan Spice,NA
2015-01-05,Aled George,NA
2015-01-05,Alex Bullen,NA
2015-01-05,Alex Freeland,NA
2015-01-05,Alex Wills,NA
2015-01-05,Andrei Zhuravlev,NA
2015-01-05,Anezka Vlkova,NA
2015-01-05,Angus Lloyd,NA
2015-01-05,Anlan Qiu,NA
2015-01-05,Ashika Shahameeran,NA
2015-01-05,Aviral Batra,NA
2015-01-05,Ayodele Sadiq,NA
2015-01-05,Barbara Graczyk-Gibiec,NA
2015-01-05,Benjamin Oh,NA
2015-01-05,Bertie Carvey,NA
2015-01-05,Bethan Mattingley,NA
2015-01-05,Bill Harle,NA
2015-01-05,Bill Hunt,NA
2015-01-05,Bill Wilkins,NA
2015-01-05,Celso Bettencourt Pinto,NA
2015-01-05,Charles Summers,NA
2015-01-05,Chris Fox,NA
2015-01-05,Chris Golding,NA
2015-01-05,Chris Hooper,NA
2015-01-05,Christine Muschiato,NA
2015-01-05,Cian Grattidge,NA
2015-01-05,Con Ariti,NA
2015-01-05,Connor Evans,NA
2015-01-05,Conor Hunt,NA
2015-01-05,Csege Hanczar,NA
2015-01-05,Csombor Hanczar,NA
2015-01-05,Cyril Ley,NA
2015-01-05,Dave McGhee,NA
2015-01-05,David L Roberts,NA
2015-01-05,David ODonnell,NA
2015-01-05,David Thorne,NA
2015-01-05,Dennis Stokes-Carter,NA
2015-01-05,Derek Jones,NA
2015-01-05,Derek Smith,NA
2015-01-05,Dominic Murray,NA
2015-01-05,Edward Donovan,NA
2015-01-05,Edward Mason,1696
2015-01-05,Egor Muljarov,NA
2015-01-05,Elliott MacNeil,NA
2015-01-05,Emma Kong,NA
2015-01-05,Evan Lewis,NA
2015-01-05,Gavin Jones,NA
2015-01-05,George Turner,NA
2015-01-05,Georgi Korovski,NA
2015-01-05,Greg Lloyd,NA
2015-01-05,Gruff Jones,NA
2015-01-05,Grzegorz Toczek,NA
2015-01-05,Guy Wagner,NA
2015-01-05,Hamid Farani Sani,NA
2015-01-05,Hanni Youssef,NA
2015-01-05,HaoYu Yin,NA
2015-01-05,Harri Hampson,NA
2015-01-05,Hefin Jones,NA
2015-01-05,Henry Jones,NA
2015-01-05,Hugh Price,NA
2015-01-05,Ieuan Bevan Jones,NA
2015-01-05,Isaac Aljabri,NA
2015-01-05,Ivan De La Cruz,NA
2015-01-05,Jack Nicol,NA
2015-01-05,Jaime Davies,NA
2015-01-05,Jake Hurley,NA
2015-01-05,James Tapp,NA
2015-01-05,Javier Martin Perez,NA
2015-01-05,Jeff Rowland,NA
2015-01-05,Jen Taylor,NA
2015-01-05,Joe Fathallah,2025
2015-01-05,John Fletcher,NA
2015-01-05,John Hannay,NA
2015-01-05,John Rowles,NA
2015-01-05,John Trevelyan,NA
2015-01-05,Jonathan Bold,NA
2015-01-05,Jonathan Lewis,NA
2015-01-05,Joseph Sartin,NA
2015-01-05,Joseph Setchfield,NA
2015-01-05,Josh Robinson,NA
2015-01-05,Joshua McKenna,NA
2015-01-05,Juan Carlos Payan,NA
2015-01-05,Juan Rodriguez,NA
2015-01-05,Jude Roberts,NA
2015-01-05,Keith Thompson,NA
2015-01-05,Kimberly Chong,NA
2015-01-05,Kristan Enoch,NA
2015-01-05,Krzysztof Jakubiak,NA
2015-01-05,Leon Zedlmayer,NA
2015-01-05,Marcell Vesz,NA
2015-01-05,Mark Maddock,NA
2015-01-05,Martin Blackman-Siegler,NA
2015-01-05,Mateusz Graczyk,NA
2015-01-05,Matt Staniforth,NA
2015-01-05,Matthew Davies,NA
2015-01-05,Matthew Wilson,NA
2015-01-05,Micah OToole,NA
2015-01-05,Michael Arribas-Ayllon,NA
2015-01-05,Mike Edwards,NA
2015-01-05,Mike Smith,NA
2015-01-05,Miltos Zoumekas,NA
2015-01-05,Muhieddin Hamadah,NA
2015-01-05,Nick Van Noorden,NA
2015-01-05,Nigel Ralphs,NA
2015-01-05,Oleksandr Zhuravel,NA
2015-01-05,Olivia Smith,NA
2015-01-05,Paul Meara,NA
2015-01-05,Peter Ehsandar,NA
2015-01-05,Peter Quinn,NA
2015-01-05,Phil Buttle,NA
2015-01-05,Piotr Graczyk,NA
2015-01-05,Reginald Mba,NA
2015-01-05,Reuben Hilliar,NA
2015-01-05,Richard Cousins,NA
2015-01-05,Ryan Cheung,NA
2015-01-05,Sam Jukes,1825
2015-01-05,Sam Rhydderch,NA
2015-01-05,Sam Thomas,NA
2015-01-05,Samuele Scarpignato,NA
2015-01-05,Shayanna Sivarajasingam,1833
2015-01-05,Stephen Hughes,NA
2015-01-05,Steve Curtis,NA
2015-01-05,Steve Herkes,NA
2015-01-05,Stuart Enoch,NA
2015-01-05,Tom Brown,2141
2015-01-05,Tom McIlveen,NA
2015-01-05,Tom Stanton,NA
2015-01-05,Varun Varma,NA
2015-01-05,Vaseekaran Sivarajasingam,NA
2015-01-05,Venetia Sivarajasingam,1812
2015-01-05,Walter Braun,NA
2015-01-05,Will Parkinson,NA
2015-01-05,Yaroslav Sharhorodsky,NA
2015-01-05,Zack Wilkins,NA
2015-01-06,Aaryan Pandit,NA
2015-01-06,Abir Deshpande,NA
2015-01-06,Alan Pietrzyk,NA
2015-01-06,Alan Spice,NA
2015-01-06,Aled George,NA
2015-01-06,Alex Bullen,NA
2015-01-06,Alex Freeland,NA
2015-01-06,Alex Wills,NA
2015-01-06,Andrei Zhuravlev,NA
2015-01-06,Anezka Vlkova,NA
2015-01-06,Angus Lloyd,NA
2015-01-06,Anlan Qiu,1597
2015-01-06,Ashika Shahameeran,NA
2015-01-06,Aviral Batra,NA
2015-01-06,Ayodele Sadiq,NA
